1638340539.557207 client started (22905): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1638340539.557270 on Darwin 21.1.0 Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:01 PDT 2021; root:xnu-8019.41.5~1/RELEASE_ARM64_T6000
1638340539.557319 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1638340539.557349 flags are 0x18010000
1638340539.557361 socket is /private/tmp/tmux-501/default
1638340539.557380 trying connect
1638340539.557420 connect failed: No such file or directory
1638340539.557445 lock file is /private/tmp/tmux-501/default.lock
1638340539.557540 flock succeeded
1638340539.557555 got lock (6)
1638340539.557570 trying connect
1638340539.557591 connect failed: No such file or directory
1638340539.558019 add peer 0x148048000: 7 (0x0)
1638340539.560520 sending message 100 to peer 0x148048000 (4 bytes)
1638340539.560545 sending message 111 to peer 0x148048000 (8 bytes)
1638340539.560560 sending message 101 to peer 0x148048000 (15 bytes)
1638340539.560575 sending message 109 to peer 0x148048000 (4 bytes)
1638340539.560589 sending message 102 to peer 0x148048000 (13 bytes)
1638340539.560603 sending message 108 to peer 0x148048000 (30 bytes)
1638340539.560616 sending message 112 to peer 0x148048000 (58 bytes)
1638340539.560630 sending message 112 to peer 0x148048000 (5 bytes)
1638340539.560644 sending message 112 to peer 0x148048000 (5 bytes)
1638340539.560658 sending message 112 to peer 0x148048000 (6 bytes)
1638340539.560671 sending message 112 to peer 0x148048000 (6 bytes)
1638340539.560685 sending message 112 to peer 0x148048000 (11 bytes)
1638340539.560698 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.560713 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.560727 sending message 112 to peer 0x148048000 (14 bytes)
1638340539.560740 sending message 112 to peer 0x148048000 (19 bytes)
1638340539.560754 sending message 112 to peer 0x148048000 (11 bytes)
1638340539.560768 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.560782 sending message 112 to peer 0x148048000 (15 bytes)
1638340539.560795 sending message 112 to peer 0x148048000 (21 bytes)
1638340539.560808 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.560823 sending message 112 to peer 0x148048000 (7 bytes)
1638340539.560835 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.560850 sending message 112 to peer 0x148048000 (7 bytes)
1638340539.560863 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.560877 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.560892 sending message 112 to peer 0x148048000 (21 bytes)
1638340539.560906 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.560920 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.560934 sending message 112 to peer 0x148048000 (16 bytes)
1638340539.560948 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.560960 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.560974 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.560986 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.560999 sending message 112 to peer 0x148048000 (8 bytes)
1638340539.561013 sending message 112 to peer 0x148048000 (8 bytes)
1638340539.561025 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561039 sending message 112 to peer 0x148048000 (7 bytes)
1638340539.561052 sending message 112 to peer 0x148048000 (7 bytes)
1638340539.561068 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.561081 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.561095 sending message 112 to peer 0x148048000 (15 bytes)
1638340539.561108 sending message 112 to peer 0x148048000 (13 bytes)
1638340539.561121 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561135 sending message 112 to peer 0x148048000 (8 bytes)
1638340539.561148 sending message 112 to peer 0x148048000 (14 bytes)
1638340539.561162 sending message 112 to peer 0x148048000 (11 bytes)
1638340539.561171 sending message 112 to peer 0x148048000 (9 bytes)
1638340539.561184 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561209 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561216 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561223 sending message 112 to peer 0x148048000 (10 bytes)
1638340539.561230 sending message 112 to peer 0x148048000 (11 bytes)
1638340539.561236 sending message 112 to peer 0x148048000 (12 bytes)
1638340539.561243 sending message 112 to peer 0x148048000 (12 bytes)
